[2024-02-26 20:47:30,047: INFO: main: Welcome to our custom log]
[2024-02-26 22:12:12,558: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-26 22:13:03,938: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-26 22:13:12,413: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-26 22:13:12,414: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 22:13:12,415: INFO: common: created directory at: artifacts]
[2024-02-26 22:13:12,415: INFO: common: created directory at: artifacts/data-ingestion]
[2024-02-26 22:16:16,265: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-26 22:16:16,266: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 22:16:16,267: INFO: common: created directory at: artifacts]
[2024-02-26 22:16:16,267: INFO: common: created directory at: artifacts/data-ingestion]
[2024-02-26 22:16:21,786: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-26 22:16:21,787: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 22:16:21,787: INFO: common: created directory at: artifacts]
[2024-02-26 22:16:21,788: INFO: common: created directory at: artifacts/data-ingestion]
[2024-02-26 22:16:48,133: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-26 22:16:48,134: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 22:16:48,135: INFO: common: created directory at: artifacts]
[2024-02-26 22:16:48,135: INFO: common: created directory at: artifacts/data-ingestion]
[2024-02-26 22:16:48,136: INFO: 1975804308: Downloading data from https://drive.google.com/file/d/1f2YFj0UGUtmvLvo81d9nF6PSyd45WcpN/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-26 22:21:28,342: INFO: 1975804308: Downloaded data from https://drive.google.com/file/d/1f2YFj0UGUtmvLvo81d9nF6PSyd45WcpN/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-26 22:36:07,617: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-26 22:36:07,618: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-26 22:36:07,618: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 22:36:07,618: INFO: common: created directory at: artifacts]
[2024-02-26 22:36:07,619: INFO: common: created directory at: artifacts/data-ingestion]
[2024-02-26 22:36:07,619: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1f2YFj0UGUtmvLvo81d9nF6PSyd45WcpN/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-26 22:40:47,255: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1f2YFj0UGUtmvLvo81d9nF6PSyd45WcpN/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-26 22:40:55,074: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x=============x]
[2024-02-27 01:47:35,394: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-27 01:47:35,396: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-27 01:47:35,396: INFO: common: created directory at: artifacts]
[2024-02-27 01:47:35,397: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-27 01:47:43,520: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-27 01:48:19,988: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-27 01:48:19,989: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-27 01:48:19,990: INFO: common: created directory at: artifacts]
[2024-02-27 01:48:19,991: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-27 01:48:20,197: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
